id,folder,instrument,matchup,N_vs_N,observed,actual_winner,predicted,predicted_ceil,predicted_winner,pcterr,abs_pcterr,domain_class,verdict,flags,arithmetic
ENIF2_R07_AlpacaFC1T6MM_v_MuellerT1InfGatot_20260717_005034,ENIF,exact_1v1,MMT6x1 -> InfT1x1,1v1,150,defender,149.984115,150,defender,-0.010590,0.010590,in_exact_duel,PASS,G_w_bounded_marksman;budget_Mueller_Gatot_S123_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=23.268*12.522=291.362; r=(30.382*27.492)/(90.11*1)=9.26936; net=1*r-201.95=0; capped]; def->att [t=73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984]
ENIF2_R11_AlpacaFC1T3MMVulcanus_v_MuellerT1InfGatot_NoAlliance_20260717_191558,ENIF,gatot_gate,MMT3x1 -> InfT1x1,1v1,21,attacker,20.419398,21,attacker,-2.764771,2.764771,in_gatot_scurve,PASS,G_w_bounded_marksman;gatot_scurve;ceil_exact_or_in_band,att->def [Gatot-S: pool=.88*(23.268*12.522)=256.398; d=(91.96*31.248)/90.11=31.8895; S=1+10.7274*exp(-31.8895/16.8932)=2.62432; rate=d*(31/30)*seo/S*sqrt(1)=12.5566; t=20.4194]; def->att [t=73.16*(34.179*7.518)*1/(5.81*2.12*0.96)*1*0.2488/sqrt(1)=395.551]
ENIF2_R12_AlpacaFC1T6MMVulcanus_v_MuellerT1InfGatot_NoAlliance_20260717_191649,ENIF,gatot_gate,MMT6x1 -> InfT1x1,1v1,6,attacker,5.673878,6,attacker,-5.435370,5.435370,in_gatot_scurve,PASS,G_w_bounded_marksman;gatot_scurve;ceil_exact_or_in_band,att->def [Gatot-S: pool=.88*(23.268*12.522)=256.398; d=(126.445*41.664)/90.11=58.4641; S=1+10.7274*exp(-58.4641/16.8932)=1.33689; rate=d*(31/30)*seo/S*sqrt(1)=45.1893; t=5.67388]; def->att [t=73.16*(79.751*17.542)*1/(5.81*2.12*0.96)*1*0.0846/sqrt(1)=732.278]
ENIF3_R08_AlpacaFC1T1Lan_v_MuellerT1MMGordon_20260717_005355,ENIF,exact_1v1,LanT1x1 -> MMT1x1,1v1,"[21,23]",attacker,21.999971,22,attacker,-0.000130,0.000130,in_exact_duel,PASS,base_mismatch;factorized_K;ceil_exact_or_in_band,att->def [t=488.71*(2.742*2.186)*1/(11.308*11.775*1)*1*1/sqrt(1)=22]; def->att [t=167.557*(5.26*4.682)*1/(13.955*13.272*1)*1*1/sqrt(1)=22.28]
ENIF3_R09_AlpacaFC1T3Lan_v_MuellerT1MMGordon_20260717_005448,ENIF,exact_1v1,LanT3x1 -> MMT1x1,1v1,"[9,11]",attacker,9.999904,10,attacker,-0.000963,0.000963,in_exact_duel,PASS,G_l_fallback_infantry;base_mismatch;factorized_K;ceil_exact_or_in_band,att->def [t=488.71*(2.742*2.186)*1/(16.962*18.84*1)*1.0909*1/sqrt(1)=9.9999]; def->att [t=167.557*(10.52*9.364)*1/(13.955*13.272*1)*1*0.904/sqrt(1)=80.5644]
ENIF3_R10_AlpacaFC1T6Lan_v_MuellerT1MMGordon_20260717_005543,ENIF,exact_1v1,LanT6x1 -> MMT1x1,1v1,"[6,7]",attacker,6.499992,7,attacker,-0.000130,0.000130,in_exact_duel,PASS,G_l_fallback_infantry;base_mismatch;factorized_K;ceil_exact_or_in_band,att->def [t=488.71*(2.742*2.186)*1/(28.27*25.905*1)*1.625*1/sqrt(1)=6.49999]; def->att [t=167.557*(21.04*16.387)*1/(13.955*13.272*1)*1*0.748/sqrt(1)=233.316]
LabRat_1v1_T1InfvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180229,FarSeerGatot_v3,exact_1v1,InfT1x1 -> InfT2x1,1v1,62,defender,61.950917,62,defender,-0.079166,0.079166,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(14.605*7)*1/(1.04*1.018*1)*1*0.996/sqrt(1)=1204.54]; def->att [t=12.524*(4.2*6.33)*1/(7.202*2*1)*2.68*1/sqrt(1)=61.9509]
LabRat_1v1_T1LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175807,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT1x1,1v1,24,defender,22.760332,23,defender,-5.165285,5.165285,in_exact_duel,PASS,budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget,att->def [Gatot-B: pool=12.084*6.6=79.7544; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(3.721*1.1*1)*1*1/sqrt(1)=22.7603]
LabRat_1v1_T1LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175937,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT1x1,1v1,27,defender,25.870679,26,defender,-4.182672,4.182672,in_exact_duel,PASS,budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget,att->def [Gatot-B: pool=11.684*6=70.104; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(3.601*1*1)*1*1/sqrt(1)=25.8707]
LabRat_1v1_T1LanvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180101,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT2x1,1v1,18,defender,17.333355,18,defender,-3.703585,3.703585,in_exact_duel,PASS,budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=14.605*7=102.235; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(7.202*2*1)*2.68*1/sqrt(1)=17.3334]
LabRat_1v1_T1LanvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180341,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT2x1,1v1,18,defender,17.333355,18,defender,-3.703585,3.703585,in_exact_duel,PASS,budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=14.605*7=102.235; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(7.202*2*1)*2.68*1/sqrt(1)=17.3334]
LabRat_1v1_T1LanvT3Inf_NoAttackerHero_Gatotlvl1_20260712_180446,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT3x1,1v1,13,defender,12.426549,13,defender,-4.411160,4.411160,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=17.526*9=157.734; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(10.803*3*1)*4.323*1/sqrt(1)=12.4265]
LabRat_1v1_T1LanvT4Inf_NoAttackerHero_Gatotlvl1_20260712_180608,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT4x1,1v1,10,defender,9.513942,10,defender,-4.860580,4.860580,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=23.368*10=233.68; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(14.404*4*1)*5.884*1/sqrt(1)=9.51394]
LabRat_1v1_T1LanvT5Inf_NoAttackerHero_Gatotlvl1_20260712_180803,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT5x1,1v1,9,defender,8.443327,9,defender,-6.185254,6.185254,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=26.289*11=289.179; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(21.606*5*1)*9.791*1/sqrt(1)=8.44333]
LabRat_1v1_T1LanvT6Inf_NoAttackerHero_Gatotlvl1_20260712_180932,FarSeerGatot_v3,exact_1v1,LanT1x1 -> InfT6x1,1v1,7,defender,6.707281,7,defender,-4.181694,4.181694,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;factorized_K;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=29.21*12=350.52; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [t=22.43*(2.046*2.03)*1/(25.207*6*1)*10.889*1/sqrt(1)=6.70728]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175821,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT1x1,1v1,19,defender,18.559361,19,defender,-2.319153,2.319153,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=12.084*6.6=79.7544; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(3.721*1.1*1)*1*1/sqrt(1)=18.5594]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_180006,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT1x1,1v1,22,defender,21.095618,22,defender,-4.110828,4.110828,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=11.684*6=70.104; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(3.601*1*1)*1*1/sqrt(1)=21.0956]
LabRat_1v1_T1MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180149,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT2x1,1v1,15,defender,14.134064,15,defender,-5.772907,5.772907,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=14.605*7=102.235; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(7.202*2*1)*2.68*1/sqrt(1)=14.1341]
LabRat_1v1_T1MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180406,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT2x1,1v1,15,defender,14.134064,15,defender,-5.772907,5.772907,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=14.605*7=102.235; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(7.202*2*1)*2.68*1/sqrt(1)=14.1341]
LabRat_1v1_T1MMvT3Inf_NoAttackerHero_Gatotlvl1_20260712_180531,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT3x1,1v1,11,defender,10.132928,11,defender,-7.882468,7.882468,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=17.526*9=157.734; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(10.803*3*1)*4.323*1/sqrt(1)=10.1329]
LabRat_1v1_T1MMvT4Inf_NoAttackerHero_Gatotlvl1_20260712_180622,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT4x1,1v1,8,defender,7.757913,8,defender,-3.026081,3.026081,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=23.368*10=233.68; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(14.404*4*1)*5.884*1/sqrt(1)=7.75791]
LabRat_1v1_T1MMvT5Inf_NoAttackerHero_Gatotlvl1_20260712_180821,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT5x1,1v1,7,defender,6.884907,7,defender,-1.644193,1.644193,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=26.289*11=289.179; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(21.606*5*1)*9.791*1/sqrt(1)=6.88491]
LabRat_1v1_T1MMvT6Inf_NoAttackerHero_Gatotlvl1_20260712_180945,FarSeerGatot_v3,exact_1v1,MMT1x1 -> InfT6x1,1v1,6,defender,5.469290,6,defender,-8.845165,8.845165,in_exact_duel,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=29.21*12=350.52; r=(5.14*6.03)/(90.11*1)=0.34396; net=1*r-30.15=0; capped]; def->att [t=73.16*(1.023*1.015)*1/(25.207*6*1)*10.889*1/sqrt(1)=5.46929]
LabRat_2v1_T1LanT3MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180321,FarSeerGatot_v3,mixed_other,LanT1x1+MMT3x1 -> InfT2x1,2v1,49,defender,48.982351,49,defender,-0.036019,0.036019,out_composition_other_defender,PASS,base_mismatch;budget_FarSeer_Gatot_S12_L1;composition_other_defender;factorized_K;gatot_budget;ceil_exact_or_in_band,sequential extension att->def [Gatot-B: pool=14.605*7=102.235; r=(4.112*5.025)/(83.6605*1)=0.246984; net=1*r-30.15=0; capped]; def->att [Lancerx1: t=22.43*(2.046*2.03)*1/(7.202*2*1)*2.68*1/sqrt(1)=17.3334; Marksmanx1: t=73.16*(3.069*3.045)*1/(7.202*2*1)*2.68*0.2488/sqrt(1)=31.649]
FarSeer_1v1_T1InfvT1Inf_AttInfA+188.6_Gatotlvl1_NoDefenderHero_20260712_083001,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,104,attacker,104.149688,105,attacker,0.143931,0.143931,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4*6)*1/(2.886*1*1)*1*1/sqrt(1)=104.15]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+217.4_Gatotlvl1_NoDefenderHero_20260712_083146,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,95,attacker,94.699433,95,attacker,-0.316386,0.316386,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4*6)*1/(3.174*1*1)*1*1/sqrt(1)=94.6994]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+219.6_Gatotlvl1_NoDefenderHero_20260712_084011,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,94,attacker,94.047559,95,attacker,0.050595,0.050595,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4*6)*1/(3.196*1*1)*1*1/sqrt(1)=94.0476]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+248.7_Gatotlvl1_NoDefenderHero_20260712_085141,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,87,attacker,86.199025,87,attacker,-0.920661,0.920661,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4*6)*1/(3.487*1*1)*1*1/sqrt(1)=86.199]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+251.1_Gatotlvl1_NoDefenderHero_20260712_085329,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,86,attacker,85.609798,86,attacker,-0.453724,0.453724,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4*6)*1/(3.511*1*1)*1*1/sqrt(1)=85.6098]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+14.0D+15.0L+11.8H+12.8_Gatotlvl1_NoDefenderHero_20260712_125440,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,109,attacker,109.003966,110,attacker,0.003639,0.003639,in_exact_duel,PASS,,att->def [t=12.524*(4.6*6.768)*1/(3.577*1*1)*1*1/sqrt(1)=109.004]; def->att [t=12.524*(11.464*6)*1/(1.14*1.118*1)*1*1/sqrt(1)=675.902]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+19.6D+20.6L+1.8H+2.8_Gatotlvl1_NoDefenderHero_20260712_125607,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,104,attacker,104.177944,105,attacker,0.171100,0.171100,in_exact_duel,PASS,,att->def [t=12.524*(4.824*6.168)*1/(3.577*1*1)*1*1/sqrt(1)=104.178]; def->att [t=12.524*(11.464*6)*1/(1.196*1.018*1)*1*1/sqrt(1)=707.541]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+14.4_Gatotlvl1_NoDefenderHero_20260712_130906,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,101,attacker,100.937068,101,attacker,-0.062309,0.062309,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.864)*1/(3.577*1*1)*1*1/sqrt(1)=100.937]; def->att [t=12.524*(11.464*6)*1/(1.04*1.018*1)*1*1/sqrt(1)=813.672]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+4.0_Gatotlvl1_NoDefenderHero_20260712_130534,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,92,attacker,91.760971,92,attacker,-0.259815,0.259815,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.24)*1/(3.577*1*1)*1*1/sqrt(1)=91.761]; def->att [t=12.524*(11.464*6)*1/(1.04*1.018*1)*1*1/sqrt(1)=813.672]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+4.0_Gatotlvl1_NoDefenderHero_20260712_130627,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,92,attacker,91.760971,92,attacker,-0.259815,0.259815,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.24)*1/(3.577*1*1)*1*1/sqrt(1)=91.761]; def->att [t=12.524*(11.464*6)*1/(1.04*1.018*1)*1*1/sqrt(1)=813.672]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+192.1L+0.0H+0.0_DefInfA+14.0D+15.0L+11.8H+27.1_Gatotlvl1_NoDefenderHero_20260712_135033,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,123,attacker,122.822731,123,attacker,-0.144121,0.144121,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.6*7.626)*1/(3.577*1*1)*1*1/sqrt(1)=122.823]; def->att [t=12.524*(11.684*6)*1/(1.14*1.118*1)*1*1/sqrt(1)=688.873]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+192.1L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_135000,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,103,attacker,102.437007,103,attacker,-0.546595,0.546595,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.966)*1/(3.577*1*1)*1*1/sqrt(1)=102.437]; def->att [t=12.524*(11.684*6)*1/(1.04*1.018*1)*1*1/sqrt(1)=829.287]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+19.6D+32.6H+10.0_Gatotlvl1_NoDefenderHero_20260712_093521,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,123,attacker,122.566439,123,attacker,-0.352488,0.352488,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(5.304*6.6)*1/(3.577*1*1)*1*1/sqrt(1)=122.566]; def->att [t=12.524*(11.464*6)*1/(1.196*1*1)*1*1/sqrt(1)=720.277]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+19.6D+32.6_Gatotlvl1_NoDefenderHero_20260712_092727,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,112,attacker,111.424036,112,attacker,-0.514254,0.514254,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(5.304*6)*1/(3.577*1*1)*1*1/sqrt(1)=111.424]; def->att [t=12.524*(11.464*6)*1/(1.196*1*1)*1*1/sqrt(1)=720.277]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+19.6D+32.6_Gatotlvl1_NoDefenderHero_20260712_093016,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,112,attacker,111.424036,112,attacker,-0.514254,0.514254,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(5.304*6)*1/(3.577*1*1)*1*1/sqrt(1)=111.424]; def->att [t=12.524*(11.464*6)*1/(1.196*1*1)*1*1/sqrt(1)=720.277]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+0.0_Gatotlvl1_NoDefenderHero_20260712_092047,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,84,attacker,84.030193,85,attacker,0.035944,0.035944,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4*6)*1/(3.577*1*1)*1*1/sqrt(1)=84.0302]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
