report_id,source_file,included,exclusion_reason,duplicate_of,schema,timestamp,attacker,defender,winner,turns,turns_min,turns_max,assumptions,warnings
NanoMart_1v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus.json,False,stale mislabelled artifact explicitly removed from the canonical corpus by Martin on 2026-07-11,,nanomart_exp1_1v1_report,2026-07-10 14:29:22,1 T1 Infantry,1 T1 Marksman,defender,8,7,9,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:12:32,1 T1 Lancer,1 T1 Lancer,attacker,30,30,30,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:36:16,1 T1 Lancer,1 T1 Marksman,defender,80,79,81,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 14:23:49,1 T1 Marksman,1 T1 Infantry,attacker,68,67,69,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 14:35:57,1 T1 Marksman,1 T1 Lancer,defender,20,19,21,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,wos_sim/data/experiments/NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 14:12:48,1 T1 Marksman,1 T1 Marksman,defender,12,12,12,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:52:41,1 T2 Infantry,1 T1 Infantry,attacker,176,175,177,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:54:45,1 T2 Infantry,1 T2 Infantry,attacker,266,265,267,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_1v1_skill_clock,2026-07-10 02:29:53,1 T3 Infantry,1 T1 Infantry,attacker,126,126,126,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:56:15,1 T3 Infantry,1 T3 Infantry,attacker,266,265,267,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:59:25,1 T4 Infantry,1 T1 Infantry,attacker,96,96,96,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:59:55,1 T5 Infantry,1 T1 Infantry,attacker,80,79,81,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 14:02:27,1 T6 Infantry,1 T1 Infantry,attacker,96,96,96,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10,1 T6 Infantry,1 T6 Infantry,attacker,264,264,264,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 15:25:57,1 T1 Infantry,2 T1 Infantry,defender,192,192,192,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v2_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v2_T1InfvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 15:30:54,1 T1 Infantry,2 T1 Lancer,defender,62,61,63,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v2_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v2_T1LanvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 15:29:16,1 T1 Lancer,2 T1 Infantry,defender,56,55,57,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 15:27:06,1 T1 Lancer,2 T1 Lancer,defender,20,19,21,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v2_T1MMvT1MM_VulcanusVsVulcanus,wos_sim/data/experiments/NanoMart_1v2_T1MMvT1MM_VulcanusVsVulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 15:48:15,1 T1 Marksman,2 T1 Marksman,defender,8,7,9,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_200_NoHero,wos_sim/data/experiments/NanoMart_200_NoHero.json,True,,,nanomart_nohero_ladder,2026-07-09 21:32:10,200 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_200_SeoYoonlvl3,wos_sim/data/experiments/NanoMart_200_SeoYoonlvl3.json,True,,,nanomart_seoyoon_ladder,2026-07-09 23:50:11,200 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_200_Vulcanus,wos_sim/data/experiments/NanoMart_200_Vulcanus.json,True,,,nanomart_vulcanus_ladder,2026-07-09 20:47:45,200 T6 Infantry,200 T6 Infantry,defender,,379,381,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_250_NoHero,wos_sim/data/experiments/NanoMart_250_NoHero.json,True,,,nanomart_nohero_ladder,2026-07-09 21:33:51,250 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_250_SeoYoonlvl3,wos_sim/data/experiments/NanoMart_250_SeoYoonlvl3.json,True,,,nanomart_seoyoon_ladder,2026-07-09 23:51:40,250 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_250_Vulcanus,wos_sim/data/experiments/NanoMart_250_Vulcanus.json,True,,,nanomart_vulcanus_ladder,2026-07-09 20:55:53,250 T6 Infantry,200 T6 Infantry,attacker,,355,357,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:15:37,2 T1 Infantry,1 T1 Infantry,attacker,186,186,186,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:25:59,2 T1 Infantry,1 T1 Lancer,attacker,56,55,57,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:27:23,2 T1 Lancer,1 T1 Infantry,attacker,62,61,63,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:19:53,2 T1 Lancer,1 T1 Lancer,attacker,20,19,21,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:23:13,2 T1 Lancer,1 T1 Marksman,defender,6,6,6,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_2v1_T1MMvT1MM_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_2v1_T1MMvT1MM_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp2_count_scaling_report,2026-07-10 16:21:16,2 T1 Marksman,1 T1 Marksman,defender,8,7,9,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_300_NoHero,wos_sim/data/experiments/NanoMart_300_NoHero.json,True,,,nanomart_nohero_ladder,2026-07-09 21:34:53,300 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_300_SeoYoonlvl3,wos_sim/data/experiments/NanoMart_300_SeoYoonlvl3.json,True,,,nanomart_seoyoon_ladder,2026-07-09 23:53:06,300 T6 Infantry,200 T6 Infantry,attacker,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_300_Vulcanus,wos_sim/data/experiments/NanoMart_300_Vulcanus.json,True,,,nanomart_vulcanus_ladder,2026-07-09 20:49:27,300 T6 Infantry,200 T6 Infantry,attacker,,295,297,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
