id,folder,instrument,matchup,N_vs_N,observed,actual_winner,attacker_clock,defender_clock,predicted_winner,predicted,actual_branch_predicted,pcterr,abs_pcterr,band_edge_pcterr,time_result,winner_classification,clock_gap_pct,alpaca_bound_branch,domain_class,verdict,flags,arithmetic
ENIF2_R07_AlpacaFC1T6MM_v_MuellerT1InfGatot_20260717_005034,ENIF,exact_1v1,MMT6x1[] vs InfT1x1[gatot],1v1,150,defender,capped,149.984115,defender,149.984115,149.984115,-0.010590,0.010590,-0.010590,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,G_w_bounded_marksman;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=1*9.26936=9.26936; net=gross-201.95=0; pool=291.362; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984; target_count=1; total=149.984115]
ENIF2_R11_AlpacaFC1T3MMVulcanus_v_MuellerT1InfGatot_NoAlliance_20260717_191558,ENIF,gatot_gate,MMT3x1[vulcanus] vs InfT1x1[gatot],1v1,21,attacker,21.815596,395.551030,attacker,21.815596,21.815596,3.883792,3.883792,3.883792,WITHIN_10PCT,CORRECT,1713.157090,N/A,in_gatot_scurve,PASS,G_w_bounded_marksman;gatot_scurve;royal_legion_L2;true_strike_enemy_defense_x0.88;true_strike_own_MM_attack_x1.04;vulcanus_S1_enemy_attack_x0.96;vulcanus_S2_avg_x31_30,attacker clock [Gatot-S: d=(91.96*31.248)/90.11=31.8895; S=1+10.7274*exp(-d/16.8932)=2.62432; folded_pool=291.362*0.88=256.398; rate=d*0.9672/S*sqrt(1)=11.753; t=21.8156; target_count=1; total=21.815596]; defender clock [plain: 73.16*(34.179*7.518)*1/(5.81*2.12*0.96)*1*0.2488/sqrt(1)=395.551; target_count=1; total=395.551030]
ENIF2_R12_AlpacaFC1T6MMVulcanus_v_MuellerT1InfGatot_NoAlliance_20260717_191649,ENIF,gatot_gate,MMT6x1[vulcanus] vs InfT1x1[gatot],1v1,6,attacker,6.061835,732.278153,attacker,6.061835,6.061835,1.030588,1.030588,1.030588,WITHIN_10PCT,CORRECT,11980.139455,N/A,in_gatot_scurve,PASS,G_w_bounded_marksman;gatot_scurve;royal_legion_L2;true_strike_enemy_defense_x0.88;true_strike_own_MM_attack_x1.04;vulcanus_S1_enemy_attack_x0.96;vulcanus_S2_avg_x31_30,attacker clock [Gatot-S: d=(126.445*41.664)/90.11=58.4641; S=1+10.7274*exp(-d/16.8932)=1.33689; folded_pool=291.362*0.88=256.398; rate=d*0.9672/S*sqrt(1)=42.2972; t=6.06184; target_count=1; total=6.061835]; defender clock [plain: 73.16*(79.751*17.542)*1/(5.81*2.12*0.96)*1*0.0846/sqrt(1)=732.278; target_count=1; total=732.278153]
ENIF3_R08_AlpacaFC1T1Lan_v_MuellerT1MMGordon_20260717_005355,ENIF,exact_1v1,LanT1x1[] vs MMT1x1[gordon],1v1,"[21,23]",attacker,21.999971,22.279971,attacker,21.999971,21.999971,-0.000130,0.000130,0.000000,CEIL_HIT,CORRECT,1.272727,N/A,in_exact_duel,PASS,base_mismatch;factorized_K,attacker clock [plain: 488.71*(2.742*2.186)*1/(11.308*11.775*1)*1*1/sqrt(1)=22; target_count=1; total=21.999971]; defender clock [plain: 167.557*(5.26*4.682)*1/(13.955*13.272*1)*1*1/sqrt(1)=22.28; target_count=1; total=22.279971]
ENIF3_R09_AlpacaFC1T3Lan_v_MuellerT1MMGordon_20260717_005448,ENIF,exact_1v1,LanT3x1[] vs MMT1x1[gordon],1v1,"[9,11]",attacker,9.999904,80.564375,attacker,9.999904,9.999904,-0.000963,0.000963,0.000000,CEIL_HIT,CORRECT,705.651510,N/A,in_exact_duel,PASS,G_l_fallback_infantry;base_mismatch;factorized_K,attacker clock [plain: 488.71*(2.742*2.186)*1/(16.962*18.84*1)*1.0909*1/sqrt(1)=9.9999; target_count=1; total=9.999904]; defender clock [plain: 167.557*(10.52*9.364)*1/(13.955*13.272*1)*1*0.904/sqrt(1)=80.5644; target_count=1; total=80.564375]
ENIF3_R10_AlpacaFC1T6Lan_v_MuellerT1MMGordon_20260717_005543,ENIF,exact_1v1,LanT6x1[] vs MMT1x1[gordon],1v1,"[6,7]",attacker,6.499992,233.315857,attacker,6.499992,6.499992,-0.000130,0.000130,0.000000,CEIL_HIT,CORRECT,3489.479368,N/A,in_exact_duel,PASS,G_l_fallback_infantry;base_mismatch;factorized_K,attacker clock [plain: 488.71*(2.742*2.186)*1/(28.27*25.905*1)*1.625*1/sqrt(1)=6.49999; target_count=1; total=6.499992]; defender clock [plain: 167.557*(21.04*16.387)*1/(13.955*13.272*1)*1*0.748/sqrt(1)=233.316; target_count=1; total=233.315857]
LabRat_1v1_T1InfvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180229,FarSeerGatot_v3,exact_1v1,InfT1x1[] vs InfT2x1[gatot],1v1,62,defender,capped,61.950917,defender,61.950917,61.950917,-0.079166,0.079166,-0.079166,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.0845353=0.0845353; net=gross-30.15=0; pool=102.235; capped; target_count=1; total=capped]; defender clock [plain: 12.524*(4.2*6.33)*1/(7.202*2*1)*2.68*1/sqrt(1)=61.9509; target_count=1; total=61.950917]
LabRat_1v1_T1LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175807,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT1x1[gatot],1v1,24,defender,capped,22.760332,defender,22.760332,22.760332,-5.165285,5.165285,-5.165285,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=79.7544; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(3.721*1.1*1)*1*1/sqrt(1)=22.7603; target_count=1; total=22.760332]
LabRat_1v1_T1LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175937,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT1x1[gatot],1v1,27,defender,capped,25.870679,defender,25.870679,25.870679,-4.182672,4.182672,-4.182672,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=70.104; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(3.601*1*1)*1*1/sqrt(1)=25.8707; target_count=1; total=25.870679]
LabRat_1v1_T1LanvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180101,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT2x1[gatot],1v1,18,defender,capped,17.333355,defender,17.333355,17.333355,-3.703585,3.703585,-3.703585,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=102.235; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(7.202*2*1)*2.68*1/sqrt(1)=17.3334; target_count=1; total=17.333355]
LabRat_1v1_T1LanvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180341,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT2x1[gatot],1v1,18,defender,capped,17.333355,defender,17.333355,17.333355,-3.703585,3.703585,-3.703585,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=102.235; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(7.202*2*1)*2.68*1/sqrt(1)=17.3334; target_count=1; total=17.333355]
LabRat_1v1_T1LanvT3Inf_NoAttackerHero_Gatotlvl1_20260712_180446,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT3x1[gatot],1v1,13,defender,capped,12.426549,defender,12.426549,12.426549,-4.411160,4.411160,-4.411160,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=157.734; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(10.803*3*1)*4.323*1/sqrt(1)=12.4265; target_count=1; total=12.426549]
LabRat_1v1_T1LanvT4Inf_NoAttackerHero_Gatotlvl1_20260712_180608,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT4x1[gatot],1v1,10,defender,capped,9.513942,defender,9.513942,9.513942,-4.860580,4.860580,-4.860580,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=233.68; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(14.404*4*1)*5.884*1/sqrt(1)=9.51394; target_count=1; total=9.513942]
LabRat_1v1_T1LanvT5Inf_NoAttackerHero_Gatotlvl1_20260712_180803,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT5x1[gatot],1v1,9,defender,capped,8.443327,defender,8.443327,8.443327,-6.185254,6.185254,-6.185254,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=289.179; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(21.606*5*1)*9.791*1/sqrt(1)=8.44333; target_count=1; total=8.443327]
LabRat_1v1_T1LanvT6Inf_NoAttackerHero_Gatotlvl1_20260712_180932,FarSeerGatot_v3,exact_1v1,LanT1x1[] vs InfT6x1[gatot],1v1,7,defender,capped,6.707281,defender,6.707281,6.707281,-4.181694,4.181694,-4.181694,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;factorized_K;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.246984=0.246984; net=gross-30.15=0; pool=350.52; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(2.046*2.03)*1/(25.207*6*1)*10.889*1/sqrt(1)=6.70728; target_count=1; total=6.707281]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_175821,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT1x1[gatot],1v1,19,defender,capped,18.559361,defender,18.559361,18.559361,-2.319153,2.319153,-2.319153,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=79.7544; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(3.721*1.1*1)*1*1/sqrt(1)=18.5594; target_count=1; total=18.559361]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_180006,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT1x1[gatot],1v1,22,defender,capped,21.095618,defender,21.095618,21.095618,-4.110828,4.110828,-4.110828,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=70.104; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(3.601*1*1)*1*1/sqrt(1)=21.0956; target_count=1; total=21.095618]
LabRat_1v1_T1MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180149,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT2x1[gatot],1v1,15,defender,capped,14.134064,defender,14.134064,14.134064,-5.772907,5.772907,-5.772907,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=102.235; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(7.202*2*1)*2.68*1/sqrt(1)=14.1341; target_count=1; total=14.134064]
LabRat_1v1_T1MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180406,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT2x1[gatot],1v1,15,defender,capped,14.134064,defender,14.134064,14.134064,-5.772907,5.772907,-5.772907,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=102.235; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(7.202*2*1)*2.68*1/sqrt(1)=14.1341; target_count=1; total=14.134064]
LabRat_1v1_T1MMvT3Inf_NoAttackerHero_Gatotlvl1_20260712_180531,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT3x1[gatot],1v1,11,defender,capped,10.132928,defender,10.132928,10.132928,-7.882468,7.882468,-7.882468,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=157.734; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(10.803*3*1)*4.323*1/sqrt(1)=10.1329; target_count=1; total=10.132928]
LabRat_1v1_T1MMvT4Inf_NoAttackerHero_Gatotlvl1_20260712_180622,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT4x1[gatot],1v1,8,defender,capped,7.757913,defender,7.757913,7.757913,-3.026081,3.026081,-3.026081,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=233.68; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(14.404*4*1)*5.884*1/sqrt(1)=7.75791; target_count=1; total=7.757913]
LabRat_1v1_T1MMvT5Inf_NoAttackerHero_Gatotlvl1_20260712_180821,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT5x1[gatot],1v1,7,defender,capped,6.884907,defender,6.884907,6.884907,-1.644193,1.644193,-1.644193,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=289.179; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(21.606*5*1)*9.791*1/sqrt(1)=6.88491; target_count=1; total=6.884907]
LabRat_1v1_T1MMvT6Inf_NoAttackerHero_Gatotlvl1_20260712_180945,FarSeerGatot_v3,exact_1v1,MMT1x1[] vs InfT6x1[gatot],1v1,6,defender,capped,5.469290,defender,5.469290,5.469290,-8.845165,8.845165,-8.845165,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,base_mismatch;gatot_budget;gatot_budget_FarSeer,attacker clock [Gatot-B: gross=1*0.34396=0.34396; net=gross-30.15=0; pool=350.52; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(1.023*1.015)*1/(25.207*6*1)*10.889*1/sqrt(1)=5.46929; target_count=1; total=5.469290]
LabRat_2v1_T1LanT3MMvT2Inf_NoAttackerHero_Gatotlvl1_20260712_180321,FarSeerGatot_v3,mixed_other,LanT1x1+MMT3x1[] vs InfT2x1[gatot],2v1,49,defender,unmeasured,unmeasured,ABSTAIN,unmeasured,unmeasured,,,,UNMEASURED_OR_CAPPED,ABSTAIN,,N/A,out_composition_other_defender,ABSTAIN,base_mismatch;mixed_composition_unmeasured,Non-anchor mixed armies are outside the frozen composition regime
FarSeer_1v1_T1InfvT1Inf_AttInfA+188.6_Gatotlvl1_NoDefenderHero_20260712_083001,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,104,attacker,104.149688,capped,attacker,104.149688,104.149688,0.143931,0.143931,0.143931,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer;lh_panel_uncaptured,attacker clock [plain: 12.524*(4*6)*1/(2.886*1*1)*1*1/sqrt(1)=104.15; target_count=1; total=104.149688]; defender clock [Gatot-B: gross=1*0.0798467=0.0798467; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+217.4_Gatotlvl1_NoDefenderHero_20260712_083146,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,95,attacker,94.699433,capped,attacker,94.699433,94.699433,-0.316386,0.316386,-0.316386,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer;lh_panel_uncaptured,attacker clock [plain: 12.524*(4*6)*1/(3.174*1*1)*1*1/sqrt(1)=94.6994; target_count=1; total=94.699433]; defender clock [Gatot-B: gross=1*0.0798467=0.0798467; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+219.6_Gatotlvl1_NoDefenderHero_20260712_084011,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,94,attacker,94.047559,capped,attacker,94.047559,94.047559,0.050595,0.050595,0.050595,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer;lh_panel_uncaptured,attacker clock [plain: 12.524*(4*6)*1/(3.196*1*1)*1*1/sqrt(1)=94.0476; target_count=1; total=94.047559]; defender clock [Gatot-B: gross=1*0.0798467=0.0798467; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+248.7_Gatotlvl1_NoDefenderHero_20260712_085141,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,87,attacker,86.199025,capped,attacker,86.199025,86.199025,-0.920661,0.920661,-0.920661,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer;lh_panel_uncaptured,attacker clock [plain: 12.524*(4*6)*1/(3.487*1*1)*1*1/sqrt(1)=86.199; target_count=1; total=86.199025]; defender clock [Gatot-B: gross=1*0.0798467=0.0798467; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+251.1_Gatotlvl1_NoDefenderHero_20260712_085329,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,86,attacker,85.609798,capped,attacker,85.609798,85.609798,-0.453724,0.453724,-0.453724,CEIL_HIT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer;lh_panel_uncaptured,attacker clock [plain: 12.524*(4*6)*1/(3.511*1*1)*1*1/sqrt(1)=85.6098; target_count=1; total=85.609798]; defender clock [Gatot-B: gross=1*0.0798467=0.0798467; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+14.0D+15.0L+11.8H+12.8_Gatotlvl1_NoDefenderHero_20260712_125440,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,109,attacker,109.003966,capped,attacker,109.003966,109.003966,0.003639,0.003639,0.003639,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer,attacker clock [plain: 12.524*(4.6*6.768)*1/(3.577*1*1)*1*1/sqrt(1)=109.004; target_count=1; total=109.003966]; defender clock [Gatot-B: gross=1*0.101766=0.101766; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+19.6D+20.6L+1.8H+2.8_Gatotlvl1_NoDefenderHero_20260712_125607,Lab Rat,exact_1v1,InfT1x1[gatot] vs InfT1x1[],1v1,104,attacker,104.177944,capped,attacker,104.177944,104.177944,0.171100,0.171100,0.171100,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_FarSeer,attacker clock [plain: 12.524*(4.824*6.168)*1/(3.577*1*1)*1*1/sqrt(1)=104.178; target_count=1; total=104.177944]; defender clock [Gatot-B: gross=1*0.0972156=0.0972156; net=gross-30.15=0; pool=68.784; capped; target_count=1; total=capped]
